time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2010-07-17,0.049510000000000005,0.049510000000000005,0.049510000000000005,20.0,0.9902000000000001,0.049510000000000005,direct,
2010-07-18,0.08585000000000001,0.059410000000000004,0.049510000000000005,75.01,5.092,0.08584000000000001,direct,
2010-07-19,0.09307000000000001,0.07723000000000001,0.08584000000000001,574.0,49.66,0.08080000000000001,direct,
2010-07-20,0.08181000000000001,0.07426,0.08080000000000001,262.0,20.59,0.07474,direct,
2010-07-21,0.07921,0.06634000000000001,0.07474,575.0,42.26,0.07921,direct,
2010-07-22,0.08181000000000001,0.0505,0.07921,2160.0,129.78,0.0505,direct,
2010-07-23,0.06767000000000001,0.0505,0.0505,2402.5,141.07,0.06262000000000001,direct,
2010-07-24,0.061610000000000005,0.05049000000000001,0.06262000000000001,496.32,26.73,0.054540000000000005,direct,
2010-07-25,0.059410000000000004,0.0505,0.054540000000000005,1551.48,85.06,0.0505,direct,
2010-07-26,0.056,0.05,0.0505,877.0,46.91,0.056,direct,
2010-07-27,0.060500000000000005,0.053,0.056,3373.69,196.92,0.06,direct,
2010-07-28,0.062,0.054,0.06,4390.29,255.76,0.0589,direct,
2010-07-29,0.0699,0.057100000000000005,0.0589,8058.49,528.32,0.0699,direct,
2010-07-30,0.0698,0.0582,0.0699,3020.85,198.53,0.0627,direct,
2010-07-31,0.06889,0.056,0.0627,4022.25,243.9,0.06785000000000001,direct,
2010-08-01,0.065,0.06,0.06785000000000001,2601.0,162.65,0.0611,direct,
2010-08-02,0.06330000000000001,0.06,0.0611,3599.0,221.2,0.06,direct,
2010-08-03,0.065,0.059000000000000004,0.06,9821.46,606.05,0.06,direct,
2010-08-04,0.062310000000000004,0.057,0.06,3494.0,210.77,0.057,direct,
2010-08-05,0.061,0.058,0.057,5034.07,303.61,0.061,direct,
2010-08-06,0.062400000000000004,0.060700000000000004,0.061,1395.0,85.91,0.0623,direct,
2010-08-07,0.062200000000000005,0.059000000000000004,0.0623,2619.0,157.34,0.059000000000000004,direct,
2010-08-08,0.061,0.059000000000000004,0.059000000000000004,2201.0,132.6,0.0609,direct,
2010-08-09,0.07350000000000001,0.059300000000000005,0.0609,13631.09,886.93,0.07100000000000001,direct,
2010-08-10,0.0709,0.06651,0.07100000000000001,1310.39,88.87,0.07,direct,
2010-08-11,0.07541,0.06,0.07,14061.18,1015.64,0.067,direct,
2010-08-12,0.07,0.061410000000000006,0.067,2062.31,134.49,0.07,direct,
2010-08-13,0.068,0.0645,0.07,3591.77,233.8,0.0645,direct,
2010-08-14,0.0695,0.0645,0.0645,4404.2,295.31,0.067,direct,
2010-08-15,0.067,0.065,0.067,4462.87,294.95,0.06529,direct,
2010-08-16,0.0679,0.062,0.06529,10731.47,696.8,0.0655,direct,
2010-08-17,0.07690000000000001,0.062430000000000006,0.0655,13185.74,915.0,0.07,direct,
2010-08-18,0.0733,0.067,0.07,2953.98,203.83,0.068,direct,
2010-08-19,0.0679,0.06670000000000001,0.068,741.12,50.04,0.06670000000000001,direct,
2010-08-20,0.06670000000000001,0.065,0.06670000000000001,4199.75,276.41,0.0655,direct,
2010-08-21,0.0669,0.0644,0.0655,10443.86,688.51,0.0664,direct,
2010-08-22,0.0664,0.061200000000000004,0.0664,18648.97,1183.64,0.066,direct,
2010-08-23,0.06689,0.063,0.066,4297.49,281.88,0.06491000000000001,direct,
2010-08-24,0.0665,0.06491000000000001,0.06491000000000001,6711.76,444.66,0.065,direct,
2010-08-25,0.0665,0.0641,0.065,4228.88,278.86,0.0648,direct,
2010-08-26,0.0658,0.064,0.0648,3870.01,251.56,0.064,direct,
2010-08-27,0.065,0.063,0.064,9009.97,583.71,0.065,direct,
2010-08-28,0.065,0.0641,0.065,6174.01,399.45,0.0641,direct,
2010-08-29,0.0648,0.064,0.0641,3173.4,204.88,0.064,direct,
2010-08-30,0.069,0.03211,0.064,34193.14,2135.0,0.06497,direct,
2010-08-31,0.0649,0.06,0.06497,14886.91,933.23,0.06,direct,
2010-09-01,0.0629,0.05961,0.06,7164.72,436.73,0.0629,direct,
2010-09-02,0.0634,0.0601,0.0629,8150.73,498.98,0.0634,direct,
2010-09-03,0.063,0.06085000000000001,0.0634,892.0,54.61,0.06085000000000001,direct,
2010-09-04,0.062380000000000005,0.061200000000000004,0.06085000000000001,3301.0,202.27,0.062380000000000005,direct,
2010-09-05,0.064,0.060500000000000005,0.062380000000000005,8459.24,527.97,0.0616,direct,
2010-09-06,0.0627,0.0616,0.0616,910.0,56.13,0.0616,direct,
2010-09-07,0.06201,0.0603,0.0616,3457.19,212.35,0.061,direct,
2010-09-08,0.062,0.06099,0.061,2345.41,143.36,0.062,direct,
2010-09-09,0.062400000000000004,0.061090000000000005,0.062,1733.5,107.68,0.061110000000000005,direct,
2010-09-10,0.0618,0.060140000000000006,0.061110000000000005,4939.79,301.8,0.0618,direct,
2010-09-11,0.065,0.061900000000000004,0.0618,7749.14,491.19,0.06366000000000001,direct,
2010-09-12,0.0621,0.061500000000000006,0.06366000000000001,793.88,48.99,0.061500000000000006,direct,
2010-09-13,0.064,0.060700000000000004,0.061500000000000006,10076.34,632.2,0.06219,direct,
2010-09-14,0.17500000000000002,0.061,0.06219,14014.81,876.76,0.06199,direct,
2010-09-15,0.0625,0.0604,0.06199,3651.85,223.27,0.0604,direct,
2010-09-16,0.061900000000000004,0.0618,0.0604,730.0,45.17,0.061900000000000004,direct,
2010-09-17,0.0609,0.059000000000000004,0.061900000000000004,7262.0,438.94,0.059000000000000004,direct,
2010-09-18,0.061,0.05761,0.059000000000000004,7092.61,427.76,0.061,direct,
2010-09-19,0.0627,0.06,0.061,12852.17,797.36,0.0627,direct,
